#timestamp [ns],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
61713469003025,-0.0154072642,-0.1187498569,-0.3941989541,0.2256252319,-0.2017909586,-0.5067037344,0.8072329164,-0.0653386414,-0.2700714469,-0.3232408762,0.8804476857,-0.1444996893,0.3961347938,-0.2168155611
61713475816946,-0.0153934583,-0.1192830652,-0.3949594200,0.2255619168,-0.2013825625,-0.5079621673,0.8065614104,-0.0656543523,-0.2697757483,-0.3234767318,0.8802301884,-0.1444384754,0.3968469501,-0.2164367288
61713482965963,-0.0159375705,-0.1194424704,-0.3950455189,0.2269830555,-0.2009300590,-0.5079847574,0.8062613010,-0.0659874678,-0.2695450187,-0.3236360252,0.8799155354,-0.1443498284,0.3976667821,-0.2162704170
61713489923135,-0.0160017647,-0.1182986200,-0.3949359953,0.2272476256,-0.2003819048,-0.5092462301,0.8055270910,-0.0660197213,-0.2696039081,-0.3240238428,0.8796418309,-0.1440800726,0.3984215260,-0.2161749005
61713496787417,-0.0159207210,-0.1185529977,-0.3953789473,0.2279759645,-0.1996673644,-0.5105767846,0.8046560287,-0.0663822144,-0.2693710625,-0.3242469132,0.8793565631,-0.1437827051,0.3991968036,-0.2161029726
61713503769480,-0.0160645247,-0.1174096316,-0.3951585293,0.2285892069,-0.1992396712,-0.5115498900,0.8039697409,-0.0667376369,-0.2690936923,-0.3243395984,0.8790923357,-0.1433568746,0.3999173939,-0.2161286175
61713510869246,-0.0162891820,-0.1177046970,-0.3954359293,0.2299789637,-0.1987645477,-0.5119284391,0.8034498096,-0.0666503161,-0.2690697312,-0.3246698976,0.8788532019,-0.1427675337,0.4006316960,-0.2161683887
61713517746348,-0.0165857859,-0.1180732995,-0.3956457078,0.2319634706,-0.1984046996,-0.5119461417,0.8029567599,-0.0670444816,-0.2687039077,-0.3248000741,0.8785970211,-0.1422818005,0.4013442397,-0.2162079066
61713524741371,-0.0169902183,-0.1182003692,-0.3958232403,0.2337106913,-0.1985736936,-0.5116380453,0.8026047945,-0.0672403798,-0.2684736252,-0.3250571191,0.8783273101,-0.1415436119,0.4021042287,-0.2163763344
61713531669003,-0.0173112676,-0.1185267866,-0.3963676095,0.2355228215,-0.1988306642,-0.5114768744,0.8021140099,-0.0674209222,-0.2683497667,-0.3254567683,0.8780680299,-0.1408143491,0.4028271139,-0.2165599763
61713538586616,-0.0175185800,-0.1172243655,-0.3959928155,0.2373494208,-0.1993815899,-0.5116879344,0.8013037443,-0.0678482354,-0.2680086195,-0.3256004751,0.8777765036,-0.1400051415,0.4035444856,-0.2169306427
61713545919576,-0.0176668726,-0.1178887188,-0.3968568444,0.2388952523,-0.2000168711,-0.5123293400,0.8002756238,-0.0680003688,-0.2678150535,-0.3258881867,0.8774178624,-0.1390445232,0.4043406844,-0.2175158411
