#timestamp [ns],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
25648711894387,-0.0093173012,-0.0903861523,-0.3636990786,0.0687100664,-0.0824766606,-0.7184851170,0.6872087121,-0.0290609188,-0.3294004798,-0.2325403690,0.8264532685,-0.5502094626,-0.1069255769,0.0530245975
25648718739686,-0.0085795000,-0.0900453925,-0.3638216257,0.0726853609,-0.0876046345,-0.7192674279,0.6853441596,-0.0308379233,-0.3296796978,-0.2330025434,0.8274270296,-0.5493496060,-0.1045925692,0.0513810143
25648726059640,-0.0091120191,-0.0896711946,-0.3641257286,0.0765551925,-0.0925124735,-0.7200096846,0.6834960580,-0.0324221477,-0.3304172158,-0.2335535288,0.8283563256,-0.5485761166,-0.1020876169,0.0496820919
25648732684464,-0.0090236142,-0.0881831944,-0.3646191359,0.0809306726,-0.0973531827,-0.7207441926,0.6815427542,-0.0339457914,-0.3294375241,-0.2347301245,0.8293381929,-0.5478211045,-0.0991565064,0.0475203544
25648739576874,-0.0085918009,-0.0888965577,-0.3647757769,0.0854319409,-0.1017101184,-0.7213940024,0.6796669960,-0.0358842611,-0.3293932080,-0.2353342772,0.8303748369,-0.5469373465,-0.0962782204,0.0454725362
25648746487822,-0.0083468780,-0.0873551667,-0.3652197123,0.0900614113,-0.1056863740,-0.7217884660,0.6780418754,-0.0374869853,-0.3299213648,-0.2360711098,0.8313506842,-0.5461685061,-0.0931650549,0.0433156453
25648753493734,-0.0079848915,-0.0858982354,-0.3654347062,0.0947555453,-0.1099915206,-0.7219728827,0.6765194535,-0.0395944417,-0.3312212825,-0.2343668938,0.8341472149,-0.5435075164,-0.0860555992,0.0373177417
25648760509494,-0.0069947913,-0.0855624974,-0.3654941320,0.0989248082,-0.1139261946,-0.7220156789,0.6752244234,-0.0416903198,-0.3313308954,-0.2342475653,0.8358721137,-0.5416138172,-0.0822563618,0.0347322337
25648767895039,-0.0067262724,-0.0840972066,-0.3657790422,0.1029172763,-0.1183867976,-0.7219952941,0.6738808155,-0.0435445458,-0.3301238120,-0.2354180813,0.8369637728,-0.5406090617,-0.0785471126,0.0326174907
25648774370433,-0.0063383505,-0.0843314230,-0.3659852743,0.1072976589,-0.1231119186,-0.7218434215,0.6725123525,-0.0452646650,-0.3303075135,-0.2366807461,0.8378064036,-0.5399167538,-0.0749834999,0.0307869744
25648781282581,-0.0055155009,-0.0836016983,-0.3662985563,0.1118074954,-0.1280433834,-0.7213949561,0.6713370085,-0.0474311188,-0.3298026919,-0.2378603220,0.8387517333,-0.5390487313,-0.0711860657,0.0292332899
25648788149170,-0.0053100660,-0.0821289271,-0.3666532040,0.1166107729,-0.1334733963,-0.7207312584,0.6701740623,-0.0496470109,-0.3284591436,-0.2391002178,0.8399142027,-0.5378128290,-0.0673584267,0.0276476424
25648795071229,-0.0041091740,-0.0817718059,-0.3668577075,0.1224865317,-0.1392945349,-0.7197512984,0.6689934731,-0.0522135161,-0.3284379840,-0.2402139902,0.8405979872,-0.5372953415,-0.0634565502,0.0261160228
25648802190630,-0.0045830086,-0.0817399025,-0.3671845198,0.1283729821,-0.1453426629,-0.7186108232,0.6678282022,-0.0541544780,-0.3281265199,-0.2417145967,0.8417456746,-0.5360263586,-0.0595095009,0.0244670287
25648809032129,-0.0044874698,-0.0801135451,-0.3675484657,0.1350643635,-0.1518405080,-0.7171368003,0.6666460037,-0.0567275360,-0.3267341852,-0.2429414988,0.8429788947,-0.5346133709,-0.0554122701,0.0224664044
25648815996498,-0.0045930892,-0.0804326981,-0.3676671386,0.1421074718,-0.1585777402,-0.7156716585,0.6651861668,-0.0596348122,-0.3269725442,-0.2437882423,0.8438572288,-0.5337259173,-0.0511822477,0.0205445178
25648823101451,-0.0038512573,-0.0793476403,-0.3679303527,0.1492623836,-0.1649711579,-0.7141243815,0.6637256145,-0.0622443482,-0.3257389069,-0.2450473309,0.8451268673,-0.5322086215,-0.0467668287,0.0180943403
