#timestamp [ns],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
59157466797032,0.0099304542,-0.1453125477,-0.4349519908,-0.3578876257,0.1521647274,0.4676950872,-0.7937403321,-0.0877328888,-0.2738358974,-0.3448867500,0.9121657610,-0.3990196586,-0.0932315290,0.0066982550
59157473685328,0.0096576437,-0.1447856426,-0.4350961447,-0.3583317399,0.1518851221,0.4684022069,-0.7931763530,-0.0879944339,-0.2734153271,-0.3455638289,0.9124140143,-0.3984370828,-0.0933048725,0.0065422216
59157480826567,0.0095529854,-0.1442033052,-0.4352711141,-0.3588769436,0.1516120732,0.4691191912,-0.7925581336,-0.0879338682,-0.2728413343,-0.3457705081,0.9125481844,-0.3981614113,-0.0931665227,0.0065843505
59157487748813,0.0098679736,-0.1437788010,-0.4352014065,-0.3593467176,0.1513043791,0.4700253308,-0.7918668985,-0.0877457187,-0.2724586725,-0.3457165956,0.9127125144,-0.3978540003,-0.0928708911,0.0065625519
59157494622889,0.0099396482,-0.1433671713,-0.4356426001,-0.3597745299,0.1509930640,0.4707621336,-0.7912940979,-0.0879396424,-0.2720913887,-0.3462237120,0.9128274918,-0.3976921737,-0.0924246535,0.0066841929
59157501893229,0.0094200596,-0.1430298090,-0.4356502593,-0.3603276610,0.1509382576,0.4715779126,-0.7905668616,-0.0880419984,-0.2717738152,-0.3465533555,0.9129934907,-0.3974099457,-0.0919971615,0.0066913338
59157508474390,0.0097516850,-0.1427028179,-0.4355122149,-0.3609677255,0.1510039717,0.4721366465,-0.7899285555,-0.0880042240,-0.2714158297,-0.3463643491,0.9131962061,-0.3970510662,-0.0915393680,0.0066091428
59157515517288,0.0093237087,-0.1424635649,-0.4354771972,-0.3616803885,0.1511532515,0.4725646079,-0.7893179059,-0.0881885365,-0.2713174820,-0.3469800949,0.9132870436,-0.3969370425,-0.0911267847,0.0066152369
59157522380323,0.0093573853,-0.1421600580,-0.4357151389,-0.3623231053,0.1513277739,0.4729500115,-0.7887586951,-0.0882346109,-0.2709814310,-0.3470596075,0.9134586453,-0.3966393173,-0.0907066613,0.0065432042
59157529397351,0.0097261369,-0.1418232918,-0.4356087744,-0.3630892634,0.1516672373,0.4732439816,-0.7881646156,-0.0882082880,-0.2706811428,-0.3467962444,0.9136675596,-0.3962452710,-0.0903465822,0.0062286183
59157536393848,0.0090560392,-0.1415139437,-0.4358078837,-0.3638930321,0.1519586444,0.4736164808,-0.7875137925,-0.0883514211,-0.2704700232,-0.3471214175,0.9138627648,-0.3958832920,-0.0899773091,0.0059518898
